well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8
F2,puc19,21.977,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.583,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.583,NN400_GvpA,5.833
E2,puc19,21.931,wt_GvpW,0.146,NN449_GvpN,0.583,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.583,NN400_GvpA,5.833
D2,puc19,21.942,wt_GvpW,0.583,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.583,NN400_GvpA,5.833
C2,puc19,22.064,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.583,NN410_GvpG,0.583,NN458_GvpF,0.146,NN400_GvpA,5.833
B2,puc19,22.036,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.583,NN457_GvpJ,0.146,NN410_GvpG,0.583,NN458_GvpF,0.146,NN400_GvpA,5.833
A2,puc19,18.791,wt_GvpW,0.583,NN449_GvpN,0.583,wt_GvpK,0.583,NN457_GvpJ,0.583,NN410_GvpG,0.583,NN458_GvpF,0.583,NN400_GvpA,5.833
H3,puc19,21.99,wt_GvpW,0.146,NN449_GvpN,0.583,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.583,NN458_GvpF,0.146,NN400_GvpA,5.833
G3,puc19,22.001,wt_GvpW,0.583,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.583,NN458_GvpF,0.146,NN400_GvpA,5.833
F3,puc19,22.048,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.583,NN457_GvpJ,0.583,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
E3,puc19,22.002,wt_GvpW,0.146,NN449_GvpN,0.583,wt_GvpK,0.146,NN457_GvpJ,0.583,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
D3,puc19,22.013,wt_GvpW,0.583,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.583,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
C3,puc19,21.974,wt_GvpW,0.146,NN449_GvpN,0.583,wt_GvpK,0.583,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
B3,puc19,23.595,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
A3,puc19,40.094,wt_GvpW,0,NN449_GvpN,0,wt_GvpK,0,NN457_GvpJ,0,NN410_GvpG,0,NN458_GvpF,0,NN400_GvpA,0
H4,puc19,21.984,wt_GvpW,0.583,NN449_GvpN,0.146,wt_GvpK,0.583,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
G4,puc19,21.938,wt_GvpW,0.583,NN449_GvpN,0.583,wt_GvpK,0.146,NN457_GvpJ,0.146,NN410_GvpG,0.146,NN458_GvpF,0.146,NN400_GvpA,5.833
F4,puc19,21.235,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.146,NN457_GvpJ,0.583,NN410_GvpG,0.583,NN458_GvpF,0.583,NN400_GvpA,5.833
E4,puc19,21.206,wt_GvpW,0.146,NN449_GvpN,0.146,wt_GvpK,0.583,NN457_GvpJ,0.146,NN410_GvpG,0.583,NN458_GvpF,0.583,NN400_GvpA,5.833
