well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9
C22,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
C24,puc19,10.2724,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0000,m162,2.7778
E2,puc19,15.2245,m169,0.0694,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,0.5556
E4,puc19,11.6503,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778
E6,puc19,11.2588,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778
E8,puc19,11.6421,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
E10,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
E12,puc19,11.2785,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
E14,puc19,11.6466,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
E16,puc19,10.2842,m169,0.2778,m168,0.2778,m167,0.0000,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
E18,puc19,10.2734,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0000,m164,0.2778,m163,0.2778,m162,2.7778
E20,puc19,12.0766,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
E22,puc19,11.2506,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
E24,puc19,11.3118,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778
G2,puc19,11.2753,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778
G4,puc19,11.6998,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
G6,puc19,11.3031,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778
G8,puc19,11.2873,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778
G10,puc19,12.4429,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
G12,puc19,10.1412,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778
G14,puc19,11.6718,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
G16,puc19,11.6833,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
G18,puc19,16.7969,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,0.5556
G20,puc19,11.7016,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
G22,puc19,10.1405,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778
G24,puc19,11.6554,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
I2,puc19,11.6631,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
I4,puc19,12.0679,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
I6,puc19,11.6700,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
I8,puc19,11.2840,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778
I10,puc19,11.6788,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778
I12,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
