well_id,sample_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9,offset_id
A6,s73,puc19,10.2329,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,2
A8,s94,puc19,10.1108,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,2
A10,s33,puc19,11.3125,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778,2
A12,s79,puc19,16.7683,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,0.5556,2
A14,s69,puc19,10.2353,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0000,m163,0.2778,m162,2.7778,2
A16,s42,puc19,11.2804,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,2
A18,s0,puc19,12.0469,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,2
A20,s10,puc19,11.6719,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,2
A22,s64,puc19,11.2716,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
A24,s30,puc19,11.2822,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,2
C2,s18,puc19,11.7085,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,2
C4,s4,puc19,12.0381,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
C6,s31,puc19,11.7946,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0000,m163,0.2778,m162,2.7778,2
C8,s26,puc19,11.6764,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
C10,s12,puc19,11.6806,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,2
C12,s22,puc19,11.6799,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,2
C14,s53,puc19,11.3082,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,2
C16,s85,puc19,15.2296,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.2778,m162,0.5556,2
C18,s40,puc19,11.2671,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,2
C20,s67,puc19,12.4429,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
C22,s15,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,2
C24,s68,puc19,10.2724,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0000,m162,2.7778,2
E2,s88,puc19,15.2245,m169,0.0694,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,0.5556,2
E4,s9,puc19,11.6503,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,2
E6,s39,puc19,11.2588,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,2
E8,s11,puc19,11.6421,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,2
E10,s45,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,2
E12,s55,puc19,11.2785,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,2
E14,s28,puc19,11.6466,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
E16,s72,puc19,10.2842,m169,0.2778,m168,0.2778,m167,0.0000,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,2
E18,s70,puc19,10.2734,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0000,m164,0.2778,m163,0.2778,m162,2.7778,2
E20,s5,puc19,12.0766,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
E22,s44,puc19,11.2506,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,2
E24,s49,puc19,11.3118,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,2
G2,s35,puc19,11.2753,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,2
G4,s16,puc19,11.6998,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,2
G6,s47,puc19,11.3031,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,2
G8,s34,puc19,11.2873,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778,2
G10,s7,puc19,12.4429,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
G12,s91,puc19,10.1412,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778,2
G14,s27,puc19,11.6718,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
G16,s19,puc19,11.6833,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,2
G18,s78,puc19,16.7969,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,0.5556,2
G20,s25,puc19,11.7016,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
G22,s89,puc19,10.1405,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,2
G24,s13,puc19,11.6554,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,2
I2,s24,puc19,11.6631,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
I4,s3,puc19,12.0679,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
I6,s17,puc19,11.6700,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,2
I8,s38,puc19,11.2840,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,2
I10,s8,puc19,11.6788,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778,2
I12,s75,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,2
I14,s6,puc19,12.0514,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
I16,s62,puc19,11.2884,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,2
I18,s36,puc19,11.2455,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,2
I20,s84,puc19,15.2010,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.2778,m162,0.5556,2
I22,s56,puc19,11.3169,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,2
I24,s95,puc19,10.1360,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,2
K2,s54,puc19,11.3037,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,2
K4,s43,puc19,11.2758,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,2
K6,s50,puc19,11.2866,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,2
K8,s65,puc19,11.3100,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
K10,s46,puc19,11.2891,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,2
K12,s66,puc19,11.2802,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,2
K14,s61,puc19,11.2499,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,2
K16,s93,puc19,10.1493,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,2
K18,s76,puc19,6.1466,m169,0.5556,m168,0.5556,m167,0.5556,m166,0.5556,m165,0.5556,m164,0.5556,m163,0.5556,m162,2.7778,2
K20,s41,puc19,11.3056,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,2
K22,s58,puc19,11.3049,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,2
