well_id,sample_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9,offset_id
J6,s44,puc19,11.2506,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,4
J8,s6,puc19,12.0514,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,4
J10,s10,puc19,11.6719,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,4
J12,s34,puc19,11.2873,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778,4
J14,s77,puc19,16.7690,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,0.5556,4
J16,s41,puc19,11.3056,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,4
J18,s8,puc19,11.6788,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778,4
J20,s49,puc19,11.3118,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,4
J22,s56,puc19,11.3169,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,4
J24,s9,puc19,11.6503,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,4
L2,s65,puc19,11.3100,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,4
L4,s93,puc19,10.1493,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,4
L6,s11,puc19,11.6421,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,4
L8,s2,puc19,12.0462,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,4
L10,s12,puc19,11.6806,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,4
L12,s63,puc19,11.2968,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,4
L14,s81,puc19,16.7602,m169,0.0694,m168,0.0000,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,0.5556,4
L16,s29,puc19,11.6850,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,4
L18,s75,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,4
L20,s50,puc19,11.2866,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,4
L22,s51,puc19,11.2950,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,4
L24,s16,puc19,11.6998,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,4
N2,s78,puc19,16.7969,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,0.5556,4
N4,s61,puc19,11.2499,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,4
N6,s72,puc19,10.2842,m169,0.2778,m168,0.2778,m167,0.0000,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,4
N8,s18,puc19,11.7085,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,4
N10,s31,puc19,11.7946,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0000,m163,0.2778,m162,2.7778,4
N12,s79,puc19,16.7683,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,0.5556,4
N14,s74,puc19,10.2665,m169,0.0000,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,4
N16,s36,puc19,11.2455,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,4
N18,s14,puc19,11.6781,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,4
N20,s1,puc19,12.0748,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,4
N22,s57,puc19,11.2664,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,4
N24,s85,puc19,15.2296,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.2778,m162,0.5556,4
P2,s71,puc19,10.2445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.0000,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,4
P4,s67,puc19,12.4429,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,4
P6,s22,puc19,11.6799,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,4
P8,s55,puc19,11.2785,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,4
P10,s23,puc19,11.6547,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,4
P12,s91,puc19,10.1412,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778,4
P14,s84,puc19,15.2010,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.2778,m162,0.5556,4
P16,s3,puc19,12.0679,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,4
P18,s59,puc19,11.2797,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,4
P20,s45,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,4
P22,s35,puc19,11.2753,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,4
P24,s20,puc19,11.6712,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,4
