well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9
E7,puc19,32.39289761,m169,0.198863636,m168,0.795454545,m167,0.198863636,m166,0.198863636,m165,0.795454545,m164,0.795454545,m163,0.198863636,m162,7.954545455
D7,puc19,32.32071145,m169,0.795454545,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.795454545,m164,0.795454545,m163,0.198863636,m162,7.954545455
C7,puc19,32.34469946,m169,0.198863636,m168,0.198863636,m167,0.795454545,m166,0.795454545,m165,0.198863636,m164,0.795454545,m163,0.198863636,m162,7.954545455
B7,puc19,32.45486666,m169,0.198863636,m168,0.795454545,m167,0.198863636,m166,0.795454545,m165,0.198863636,m164,0.795454545,m163,0.198863636,m162,7.954545455
A7,puc19,54.67354686,m169,0,m168,0,m167,0,m166,0,m165,0,m164,0,m163,0,m162,0
H8,puc19,32.38268049,m169,0.795454545,m168,0.198863636,m167,0.198863636,m166,0.795454545,m165,0.198863636,m164,0.795454545,m163,0.198863636,m162,7.954545455
G8,puc19,32.36957593,m169,0.198863636,m168,0.795454545,m167,0.795454545,m166,0.198863636,m165,0.198863636,m164,0.795454545,m163,0.198863636,m162,7.954545455
F8,puc19,32.29738976,m169,0.795454545,m168,0.198863636,m167,0.795454545,m166,0.198863636,m165,0.198863636,m164,0.795454545,m163,0.198863636,m162,7.954545455
E8,puc19,32.40755696,m169,0.795454545,m168,0.795454545,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.795454545,m163,0.198863636,m162,7.954545455
D8,puc19,32.26296251,m169,0.198863636,m168,0.198863636,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
C8,puc19,32.37312971,m169,0.198863636,m168,0.795454545,m167,0.198863636,m166,0.795454545,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
B8,puc19,32.30094354,m169,0.795454545,m168,0.198863636,m167,0.198863636,m166,0.795454545,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
A8,puc19,19.67176996,m169,0.795454545,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,11.93181818
H9,puc19,32.28783898,m169,0.198863636,m168,0.795454545,m167,0.795454545,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
G9,puc19,32.21565281,m169,0.795454545,m168,0.198863636,m167,0.795454545,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
F9,puc19,32.32582001,m169,0.795454545,m168,0.795454545,m167,0.198863636,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.198863636,m162,7.954545455
E9,puc19,32.34980802,m169,0.198863636,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
D9,puc19,32.27762186,m169,0.795454545,m168,0.198863636,m167,0.795454545,m166,0.795454545,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
C9,puc19,32.38778905,m169,0.795454545,m168,0.795454545,m167,0.198863636,m166,0.795454545,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
B9,puc19,32.30249832,m169,0.795454545,m168,0.795454545,m167,0.795454545,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.198863636,m162,7.954545455
A9,puc19,54.67354686,m169,0,m168,0,m167,0,m166,0,m165,0,m164,0,m163,0,m162,0
H10,puc19,29.41653237,m169,0.795454545,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0,m162,7.954545455
G10,puc19,29.3102151,m169,0.795454545,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0,m163,0.795454545,m162,7.954545455
F10,puc19,29.4191977,m169,0.795454545,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0,m164,0.795454545,m163,0.795454545,m162,7.954545455
E10,puc19,29.33657231,m169,0.795454545,m168,0.795454545,m167,0.795454545,m166,0,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,7.954545455
D10,puc19,29.45029328,m169,0.795454545,m168,0.795454545,m167,0,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,7.954545455
C10,puc19,29.30340369,m169,0.795454545,m168,0,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,7.954545455
B10,puc19,29.39965191,m169,0,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,7.954545455
A10,puc19,19.67176996,m169,0.795454545,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,11.93181818
H11,puc19,17.6016928,m169,1.590909091,m168,1.590909091,m167,1.590909091,m166,1.590909091,m165,1.590909091,m164,1.590909091,m163,1.590909091,m162,7.954545455
